list_name,name,label
subcounty_list,nairobi_north,Nairobi (City) North
subcounty_list,nairobi_south,Nairobi (City) South
subcounty_list,nairobi_central,Nairobi (City) Central
subcounty_list,nairobi_east,Nairobi (City) East
subcounty_list,nairobi_north,Nairobi (City) North
subcounty_list,nairobi_south,Nairobi (City) South
subcounty_list,nairobi_west,Nairobi (City) West
subcounty_list,nairobi_kamukunji,Nairobi (City) Kamukunji
subcounty_list,nairobi_kasarani,Nairobi (City) Kasarani
subcounty_list,nairobi_kibra,Nairobi (City) Kibra
subcounty_list,nairobi_ata,Nairobi (City) Ata
subcounty_list,nairobi_makadara,Nairobi (City) Makadara
subcounty_list,nairobi_mathare,Nairobi (City) Mathare
subcounty_list,nairobi_roysambu,Nairobi (City) Roysambu
subcounty_list,nairobi_ruaraka,Nairobi (City) Ruaraka
subcounty_list,nairobi_starehe,Nairobi (City) Starehe
subcounty_list,nairobi_westlands,Nairobi (City) Westlands
subcounty_list,nakuru_bahati,Nakuru Bahati
subcounty_list,nakuru_gilgil,Nakuru Gilgil
subcounty_list,nakuru_north,Nakuru North
subcounty_list,nakuru_south,Nakuru South
subcounty_list,nakuru_molo,Nakuru Molo
subcounty_list,nakuru_naivasha,Nakuru Naivasha
subcounty_list,nakuru_east,Nakuru East
subcounty_list,nakuru_west,Nakuru West
subcounty_list,nakuru_njoro,Nakuru Njoro
subcounty_list,nakuru_rongai,Nakuru Rongai
subcounty_list,nakuru_subukia,Nakuru Subukia
subcounty_list,nandi_aldai,Nandi Aldai
subcounty_list,nandi_chesumei,Nandi Chesumei
subcounty_list,nandi_emgwen,Nandi Emgwen
subcounty_list,nandi_mosop,Nandi Mosop
subcounty_list,nandi_hills,Nandi Hills
subcounty_list,nandi_tindiret,Nandi Tindiret
subcounty_list,narok_east,Narok East
subcounty_list,narok_north,Narok North
subcounty_list,narok_south,Narok South
subcounty_list,narok_west,Narok West
subcounty_list,narok_east,Narok East
subcounty_list,narok_west,Narok West
subcounty_list,nyamira_borabu,Nyamira Borabu
subcounty_list,nyamira_manga,Nyamira Manga
subcounty_list,nyamira_north,Nyamira North
subcounty_list,nyamira_north,Nyamira North
subcounty_list,nyamira_south,Nyamira South
subcounty_list,nyandarua_kinangop,Nyandarua Kinangop
subcounty_list,nyandarua_kipipiri,Nyandarua Kipipiri
subcounty_list,nyandarua_ndaragwa,Nyandarua Ndaragwa
subcounty_list,nyandarua_kalou,Nyandarua Kalou
subcounty_list,nyandarua_orok,Nyandarua Orok
subcounty_list,nyeri_east,Nyeri East
subcounty_list,nyeri_west,Nyeri West
subcounty_list,nyeri_east,Nyeri East
subcounty_list,nyeri_west,Nyeri West
subcounty_list,nyeri_mukurweini,Nyeri Mukurweini
subcounty_list,nyeri_town,Nyeri Town
subcounty_list,nyeri_othaya,Nyeri Othaya
subcounty_list,nyeri_tetu,Nyeri Tetu
subcounty_list,samburu_east,Samburu East
subcounty_list,samburu_north,Samburu North
subcounty_list,samburu_west,Samburu West
subcounty_list,siaya_usonga,Siaya Usonga
subcounty_list,siaya_bondo,Siaya Bondo
subcounty_list,siaya_gem,Siaya Gem
subcounty_list,siaya_rarieda,Siaya Rarieda
subcounty_list,siaya_ugenya,Siaya Ugenya
subcounty_list,siaya_unguja,Siaya Unguja
subcounty_list,taita taveta_mwatate,Taita Taveta Mwatate
subcounty_list,taita taveta_taveta,Taita Taveta Taveta
subcounty_list,taita taveta_voi,Taita Taveta Voi
subcounty_list,taita taveta_wundanyi,Taita Taveta Wundanyi
subcounty_list,tana_river_bura,Tana River Bura
subcounty_list,tana_river_galole,Tana River Galole
subcounty_list,tana_river_garsen,Tana River Garsen
subcounty_list,tharaka_nithi_north,Tharaka-Nithi North
subcounty_list,tharaka_nithi_south,Tharaka-Nithi South
subcounty_list,tharaka_nithi_chuka,Tharaka-Nithi Chuka
subcounty_list,tharaka_nithi_mbe,Tharaka-Nithi Mbe
subcounty_list,tharaka_nithi_maara,Tharaka-Nithi Maara
subcounty_list,tharaka_nithi_muthambi,Tharaka-Nithi Muthambi
subcounty_list,trans_nzoia_cherangany,Trans-Nzoia Cherangany
subcounty_list,trans_nzoia_endebess,Trans-Nzoia Endebess
subcounty_list,trans_nzoia_kiminini,Trans-Nzoia Kiminini
subcounty_list,trans_nzoia_kwanza,Trans-Nzoia Kwanza
subcounty_list,trans_nzoia_saboti,Trans-Nzoia Saboti
subcounty_list,turkana_loima,Turkana Loima
subcounty_list,turkana_central,Turkana Central
subcounty_list,turkana_east,Turkana East
subcounty_list,turkana_north,Turkana North
subcounty_list,turkana_south,Turkana South
subcounty_list,uasin_gishu_ainabkoi,Uasin Gishu Ainabkoi
subcounty_list,uasin_gishu_kapseret,Uasin Gishu Kapseret
subcounty_list,uasin_gishu_kesses,Uasin Gishu Kesses
subcounty_list,uasin_gishu_moiben,Uasin Gishu Moiben
subcounty_list,uasin_gishu_soy,Uasin Gishu Soy
subcounty_list,uasin_gishu_turbo,Uasin Gishu Turbo
subcounty_list,vihiga_emuhaya,Vihiga Emuhaya
subcounty_list,vihiga_hamisi,Vihiga Hamisi
subcounty_list,vihiga_luanda,Vihiga Luanda
subcounty_list,vihiga_sabatia,Vihiga Sabatia
subcounty_list,vihiga_vihiga,Vihiga Vihiga
subcounty_list,wajir_eldas,Wajir Eldas
subcounty_list,wajir_tarbaj,Wajir Tarbaj
subcounty_list,wajir_east,Wajir East
subcounty_list,wajir_north,Wajir North
subcounty_list,wajir_south,Wajir South
subcounty_list,wajir_west,Wajir West
subcounty_list,central_pokot,Central Pokot
subcounty_list,pokot_north,West Pokot
subcounty_list,pokot_south,Pokot South
subcounty_list,north_pokot,Pokot North
