,,,,,,,,"Baseline Assessment Tool for HIV Prevention, PMTCT, HIV/TB & MNCH Service Transition _ DoS TWGs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Integration of HIV Prevention, HIV/TB,  PMTCT  & MNCH Services and EMR Use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cross Cutting Areas,,,
Section 1: Facility Profile,,,,,,,,Section 2a: Integration of HIV/TB Services,,,,,"Section 2b: Integration of Other Services - PMTCT in MCNH & HIV Prevention in OPD, IPD & MCNH",,,,,,,Section 2c: EMR Integration,,,,,,,,,,,,,,,,,,,,Section 3: HRH Transition (Workforce Absorption),,,,,,,,,,,,Section 4: PLHIV &  PBFW Enrollment into SHA,,,,,,Section 5: County Led Technical Assistance / Mentorship,,,Section 6: Financing and Sustainability,,,Section 7: Mortality outcomes (Sustainability of quality of care),,,,,,Section 10a: Simplification of Donor Reporting,,,
Mwapula Dispensary,21119,Stawisha Pwani,Kilifi,Ganze,Level II,Yes,Yes,Yes,OPD,14,2,14,Yes,Yes,Not Applicable,Yes,No,Not Applicable,No,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,No,No,3,1,Yes,No,Not Applicable,Yes, -   , -   , -   , -   , -   , -   ,,,,
Kambi Ya Waya Dispensary,20771,Stawisha Pwani,Kilifi,Magarini,Level II,Yes,Yes,Yes,OPD,62,9,62,No,Yes,Not Applicable,Yes,Yes,Not Applicable,No,Yes,No,EMR Not Available,,EMR Not Available,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,No,No,Taifa Care Powered by Kenya EMR,,Not Applicable,Yes, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,30, -   , -   , -   ,Yes,Yes,1,1,Yes,Yes,No,No, -   , -   , -   , -   , -   , -   ,,,,
Kijana Heri Medical Clinic,20345,Stawisha Pwani,Kilifi,Magarini,Level IV,Yes,Yes,No,,51, -   ,,Not Applicable,No,Yes,No,No,No,No,Yes,No,EMR Not Available,,EMR Not Available,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,No,No,Taifa Care Powered by Kenya EMR,,Not Applicable,Yes, -   ,,,,,, -   , -   ,,,,, -   ,,,,Yes,Yes,1,,,No,Not Applicable,No,7, -   , -   , -   , -   ,7,,,,
Khairat Medical Centre,20321,Stawisha Pwani,Kilifi,Kilifi North,Level II,Yes,Yes,Yes,OPD,35, -   ,35,Not Applicable,Yes,Yes,Yes,No,No,No,Yes,No,Other - Specify,SMARTHEALTH,Other - Specify,SMARTHEALTH,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,No,Yes,Taifa Care Powered by Kenya EMR,,Not Applicable,Yes, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,Yes,No,1,,,No,Not Applicable,No,2, -   , -   , -   , -   ,1,,,,
Chamari Dispensary,20308,Stawisha Pwani,Kilifi,Magarini,Level II,Yes,Yes,Yes,OPD,20, -   ,20,Not Applicable,Yes,Not Applicable,Yes,No,Not Applicable,No,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No, -   ,,,,,, -   , -   ,,,,, -   ,,,,No,No, -   ,,,No,Not Applicable,No, -   , -   , -   , -   , -   , -   ,,,,
Mshongoleni Community Dispensary,20300,Stawisha Pwani,Kilifi,Malindi,Level II,Yes,Yes,Yes,OPD,20, -   ,20,Not Applicable,Yes,Not Applicable,Yes,Yes,Not Applicable,No,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No, -   ,,,,,, -   , -   ,,,,, -   ,,,,Yes,Yes, -   ,,,No,Not Applicable,No, -   , -   , -   , -   , -   , -   ,,,,
Kamkomani Dispensary,19189,Stawisha Pwani,Kilifi,Kaloleni,Level II,Yes,Yes,Yes,OPD,4,1,4,No,Yes,Not Applicable,Yes,Yes,Not Applicable,No,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,No,No, -   ,,,No,Not Applicable,No, -   , -   , -   , -   , -   , -   ,,,,
Dungicha Dispensary,19024,Stawisha Pwani,Kilifi,Ganze,Level II,Yes,Yes,Yes,OPD,33,4,33,Yes,Yes,Not Applicable,Yes,Yes,Not Applicable,No,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3, -   ,Yes,Yes,2,2,Yes,No,No,No, -   , -   , -   , -   , -   , -   ,,,,
Mavueni Dispensary,18482,Stawisha Pwani,Kilifi,Kilifi North,Level IV,Yes,Yes,Yes,OPD,70, -   ,70,Not Applicable,Yes,Not Applicable,Yes,Yes,Not Applicable,Yes,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No,1, -   ,1, -   ,,, -   , -   ,,,,, -   , -   ,10, -   ,Yes,No,3,2,Yes,No,No,No, -   , -   , -   , -   , -   , -   ,,,,
Ziani Dispensary,18374,Stawisha Pwani,Kilifi,Kilifi South,Level II,Yes,Yes,No,,18,3,,Yes,Yes,Not Applicable,Yes,Yes,Not Applicable,No,Yes,No,EMR Not Available,,EMR Not Available,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,No,No,Taifa Care Powered by Kenya EMR,,Not Applicable,Yes, -   ,,,,,, -   , -   ,,,,, -   , -   ,3, -   ,Yes,Yes,3,1,Yes,Yes,Yes,No, -   , -   , -   , -   , -   , -   ,,,,
